Cord Dose (GY),Cord Value (% of 32.133 cc),Larynx Dose (GY),Larynx Value (% of 29.498 cc),Lparotid Dose (GY),Lparotid Value (% of 23.200 cc),PTV70 Dose (GY),PTV70 Value (% of 72.976 cc),Rparotid Dose (GY),Rparotid Value (% of 20.409 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,11.128259,0.100000,1.811290,0.100000,0.000000,0.100000,94.212392,0.100000,71.960608,
0.300000,1.197560,0.300000,0.201254,0.300000,0.000000,0.300000,90.268716,0.300000,60.479434,
0.500000,0.000000,0.500000,0.014549,0.500000,0.000000,0.500000,87.553784,0.500000,54.117358,
0.700000,0.000000,0.700000,0.000000,0.700000,0.000000,0.700000,85.332832,0.700000,49.176996,
0.900000,0.000000,0.900000,0.000000,0.900000,0.000000,0.900000,83.321953,0.900000,44.386164,
1.100000,0.000000,1.100000,0.000000,1.100000,0.000000,1.100000,81.415620,1.100000,39.267065,
1.300000,0.000000,1.300000,0.000000,1.300000,0.000000,1.300000,79.576588,1.300000,33.992594,
1.500000,0.000000,1.500000,0.000000,1.500000,0.000000,1.500000,77.732656,1.500000,28.623497,
1.700000,0.000000,1.700000,0.000000,1.700000,0.000000,1.700000,75.764902,1.700000,23.491548,
1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,73.574007,1.900000,18.788332,
2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,70.662071,2.100000,14.529036,
2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,66.865740,2.300000,10.798939,
2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,62.278779,2.500000,7.606220,
2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,56.768871,2.700000,4.904148,
2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,50.263816,2.900000,2.751136,
3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,41.747227,3.100000,1.624981,
3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,29.934169,3.300000,0.807234,
3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,16.418642,3.500000,0.074765,
3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,1.508731,3.700000,0.000000,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,
